Class,Predicates,Total_Branches,Covered_Branches,Total_Methods,Branchless_Methods,Covered_Methods,Covered_Branchless_Methods,Total_Goals,Covered_Goals,Statements_Executed,Coverage,BranchCoverage,NumberOfGeneratedTestCases,DefUseCoverage,WeakMutationScore,Creation_Time,Minimization_Time,Total_Time,Test_Execution_Time,Goal_Computation_Time,Result_Size,Result_Length,Minimized_Size,Minimized_Length,Chromosome_Length,Population_Size,Random_Seed,Budget,AllPermission,SecurityPermission,UnresolvedPermission,AWTPermission,FilePermission,SerializablePermission,ReflectPermission,RuntimePermission,NetPermission,SocketPermission,SQLPermission,PropertyPermission,LoggingPermission,SSLPermission,AuthPermission,AudioPermission,OtherPermission,Threads,Branches,MutationScore,Explicit_MethodExceptions,Explicit_TypeExceptions,Implicit_MethodExceptions,Implicit_TypeExceptions,Error_Predicates,Error_Branches_Covered,Error_Branchless_Methods,Error_Branchless_Methods_Covered,AssertionContract,EqualsContract,EqualsHashcodeContract,EqualsNullContract,EqualsSymmetricContract,HashCodeReturnsNormallyContract,JCrasherExceptionContract,NullPointerExceptionContract,ToStringReturnsNormallyContract,UndeclaredExceptionContract,Contract_Violations,Unique_Violations,Data_File,Definitions,Uses,DefUsePairs,IntraMethodPairs,InterMethodPairs,IntraClassPairs,ParameterPairs,AliasingIntraMethodPairs,AliasingInterMethodPairs,AliasingIntraClassPairs,AliasingParameterPairs,CoveredIntraMethodPairs,CoveredInterMethodPairs,CoveredIntraClassPairs,CoveredParameterPairs,CoveredAliasIntraMethodPairs,CoveredAliasInterMethodPairs,CoveredAliasIntraClassPairs,CoveredAliasParameterPairs,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10
com.lts.util.notifyinglist.SimplifiedList,21,42,41,26,14,26,14,56,55,111990,0.9821428571428571,0.9821428571428571,22,,,304424,3420,301004,54700,0,11,130,22,86,40,50,1372893913684,300,0,0,0,0,18,0,0,2,0,14,0,0,0,0,0,0,0,5,11111111111111111111111111111111110111111111111111111111,0.6216216216216216,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/78_caloriecount/evosuite-report/data/statistics_com.lts.util.notifyinglist.SimplifiedList-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7678571428571429,0.9464285714285714,0.9642857142857143,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9821428571428571
com.lts.io.archive.ZipArchive,24,48,20,22,7,19,7,55,27,65447,0.4909090909090909,0.4909090909090909,20,,,302865,1861,301004,48233,1,20,192,20,54,40,50,1372895101044,300,0,0,0,0,5108,0,0,1045,0,0,0,0,0,0,0,0,0,3,1111111000000000111110011111110000000001111000010110010,0.11071428571428571,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/78_caloriecount/evosuite-report/data/statistics_com.lts.io.archive.ZipArchive-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34545454545454546,0.41818181818181815,0.4727272727272727,0.4909090909090909,0.4909090909090909,0.4909090909090909,0.4909090909090909,0.4909090909090909,0.4909090909090909,0.4909090909090909
com.lts.application.prop.ApplicationProperties,22,44,17,21,9,16,7,53,24,51085,0.4528301886792453,0.4528301886792453,6,,,302908,1875,301033,20711,0,5,67,6,18,40,50,1372895779124,300,0,0,0,0,319,0,0,14,0,0,0,0,0,0,0,0,0,3,01111110111010011000010000010101000000011010111010010,0.06683804627249357,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/78_caloriecount/evosuite-report/data/statistics_com.lts.application.prop.ApplicationProperties-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24396963193131949,0.2641509433962264,0.2641509433962264,0.4528301886792453,0.4528301886792453,0.4528301886792453,0.4528301886792453,0.4528301886792453,0.4528301886792453,0.4528301886792453
com.lts.application.data.ApplicationDataElementAdaptor,1,2,2,19,18,11,10,20,12,73270,0.6,0.6,5,,,305880,291,305589,50471,0,4,19,5,11,40,50,1372896531633,300,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,5,01111000011011001111,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/78_caloriecount/evosuite-report/data/statistics_com.lts.application.data.ApplicationDataElementAdaptor-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0.95,0.95,0.95,0.95,0.6,0.6,0.6,0.6,0.6
com.lts.caloriecount.ui.mainframe.CalorieStatusPanel,1,2,0,4,3,2,2,5,2,23269,0.4,0.4,1,,,301158,69,301089,30185,0,1,2,1,1,40,50,1372899094900,300,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,5,11000,0.05092592592592592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/78_caloriecount/evosuite-report/data/statistics_com.lts.caloriecount.ui.mainframe.CalorieStatusPanel-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
com.lts.application.prop.ApplicationProperties,22,44,20,21,9,16,7,53,27,55468,0.5094339622641509,0.5094339622641509,6,,,302974,1972,301002,23708,1,6,69,6,23,40,50,1372899701813,300,0,0,0,0,457,0,0,21,0,0,0,0,0,0,0,0,0,3,01111110111111011000010000010111000000011010111010010,0.10668380462724936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/78_caloriecount/evosuite-report/data/statistics_com.lts.application.prop.ApplicationProperties-1.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3018867924528302,0.4528301886792453,0.4528301886792453,0.4528301886792453,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509
com.lts.util.notifyinglist.NotifyingListAdaptor,16,32,31,39,30,38,29,62,60,82716,0.967741935483871,0.967741935483871,29,,,306796,5769,301027,46986,0,14,184,29,94,40,50,1372900103914,300,0,0,0,0,17,0,0,262,0,30,0,0,0,0,0,0,0,5,11111111111111011111111111111111111111111111111111101111111111,0.5769230769230769,1,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/78_caloriecount/evosuite-report/data/statistics_com.lts.util.notifyinglist.NotifyingListAdaptor-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7903225806451613,0.9032258064516129,0.9516129032258065,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871
com.lts.io.archive.ZipArchive,24,48,19,22,7,19,7,55,26,53712,0.4727272727272727,0.4727272727272727,18,,,302639,1635,301004,46185,0,23,172,18,51,40,50,1372900567286,300,0,0,0,0,5829,0,0,1447,0,0,0,0,0,0,0,0,0,3,1111111000000000111010011111110000000001111000010110010,0.10714285714285714,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/78_caloriecount/evosuite-report/data/statistics_com.lts.io.archive.ZipArchive-1.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34545454545454546,0.41818181818181815,0.4727272727272727,0.4727272727272727,0.4727272727272727,0.4727272727272727,0.4727272727272727,0.4727272727272727,0.4727272727272727,0.4727272727272727
com.lts.util.notifyinglist.NotifyingListAdaptor,16,32,23,39,30,37,28,62,51,13485,0.8225806451612904,0.8225806451612904,23,,,69948,8961,60987,11807,1,11,326,23,63,40,50,1372950824618,60,0,0,0,0,8,0,0,0,0,20,0,0,0,0,0,0,0,5,11111111111111011111111111110111011111111110001111100110101110,0.38076923076923075,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/78_caloriecount/evosuite-report/data/statistics_com.lts.util.notifyinglist.NotifyingListAdaptor-1.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8225806451612904,0.8225806451612904,0.8225806451612904,0.8225806451612904,0.8225806451612904,0.8225806451612904,0.8225806451612904,0.8225806451612904,0.8225806451612904,0.8225806451612904
com.lts.application.prop.ApplicationProperties,22,44,4,21,9,9,5,53,9,2211,0.16981132075471697,0.16981132075471697,5,,,62360,1074,61286,1873,0,3,53,5,12,40,50,1372951030098,60,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,3,01011110000000000000000000010101000000000000000000010,0.015424164524421594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/78_caloriecount/evosuite-report/data/statistics_com.lts.application.prop.ApplicationProperties-2.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16981132075471697,0.16981132075471697,0.16981132075471697,0.16981132075471697,0.16981132075471697,0.16981132075471697,0.16981132075471697,0.16981132075471697,0.16981132075471697,0.16981132075471697
